Country ;Crisis Start;;AMC start;; AMC Type;"AMC
/ DF
/ BB";"other
funcs
Y/N";"operating
Y/N";close date;;AMC name;"SOE
/ PRIV";"Pred
Y/N";"Pred 
name";Pred start;;"Sort
of change";AMC website;info1;info2
;mth;year;mth;year;;;;;mth;year;;;;;mth;year;;;;
Korea;8;1997;6;1996;Centralised;;;;;;Korea Deposit Insurance Corporation (KDIC);;;;;;;http://www.kdic.or.kr/english/index.jsp;;
Latvia;9;2008;10;2010;Decentralized;;;;;;Parex / Reverta;;;;;;;http://www.reverta.lv/;;
Lithuania;12;1995;0;1996;Centralised;BB;;Y;-;-;Turto Bankas;;;;;;;http://www.turtas.lt/en/home.html;;
Malaysia;7;1997;6;1998;Centralised;;;;;;Pengurusan Danaharta Nasional Burhad;;;;;;;none;http://www.bis.org/publ/plcy06h.pdf;
Malaysia;7;1997;7;1998;;;;;;;Corporate Debt Restructuring Committee (CDRC);;;;;;;;;
Malaysia;7;1997;8;1998;;;;;;;Danamodal Nasional Berhad (Danamodal) ;;;;;;;;;
Nicaragua;8;2000;;;Decentralized;;;;;;CB / FOGADE (insurance institution);;;;;;;;;
Nigeria;8;2009;7;2010;Centralised;;;;;;AMCON;;;;;;;http://amcon.com.ng/;;
Russia;8;1998;3;1999;Centralised;;;;;;Agency for the Restructuring of Credit Organisations (ARKO);;;;;;;none;;
Russia;8;1998;10;1998;Centralised;;;;;;State Corporation Deposit Insurance Agency (DIA);;;;;;;http://www.asv.org.ru/en/dia/;;
Sweden;9;1991;12;1992;Decentralised;;;;;;Bank Support Authority;;;;;;;;http://www.esri.go.jp/jp/workshop/020320/session4_prf_kroszner1.pdf;http://fic.wharton.upenn.edu/fic/papers/98/9805.pdf
Sweden;9;1991;0;1993;Decentralised;BB;N;;;;Securum;SOE;;;;;;;;
Sweden;9;1991;0;1993;Decentralised;BB;N;;;;Retriva;SOE;;;;;;;;
Sweden;9;1991;;;Decentralised;;;;;;other major banks;PRIV;;;;;;;;
Sweden;9;1991;7;1992;Decentralised;BB;N;N;12;1998;Nackebro;PRIV;;;;;;;;
Switzerland;9;2008;10;2008;Decentralized;;;;;;UBS / stabilization fund;;;;;;;;http://www.centralbanking.com/central-banking-journal/feature/2042698/stabfund-look-inner-workings-bad-bank;
Thailand;;2007;8;2008;Centralised;;;;;;Financial Institutions Development Fund;SOE;Y;the same;11;1985;law change;;;
Thailand;7;1997;10;1997;Centralised;AMC;Y;;;;Financial Sector Restructuring Agency (FRA);SOE;N;-;;;;;;
Thailand;7;1997;10;1997;Centralised;AMC;N;;;;Thai Asset Management Corporation;SOE;N;-;;;;http://tamc.or.th/en/history.php;http://www.bis.org/publ/plcy06h.pdf;http://www.jri.co.jp/english/periodical/rim/1998/RIMe199804thaifin/
Thailand;7;1997;4;1997;Centralised;AMC;;;;;Property Loan Management Organisation;SOE;N;-;;;;;;
Thailand;7;1997;0;1998;Centralised;;;;;;privately-owned AMCs;;;;;;;;;
Thailand;7;1997;;;Centralised;BB;;;;;bad bank for BBC;;;;;;;;;
Thailand;7;1997;1;1998;Centralised;GB;;                                                                                                                                                  ;;;Radhanasin Bank;SOE;N;-;;;;;;
