Country ;Crisis Start;AMC start; AMC Type;AMC name;AMC website;info1;info2;info3;info4
United States;gru-2007;;Decentralized;;;TARP;
Uruguay;sty-2002;06-2002;Centralised;Fondo para la Fortificación del Sistema Bancario (FFSB);;;
Uruguay;sty-2002;08-2002;Centralised;Fund for the Stabilization of the Banking System (FESB);;;
Vietnam;lis-1997;00-2000;(DE)Centralised;internal BB for 4 SOCBs;;;
Vietnam;lis-1997;00-2003;(DE)Centralised;Debt and Asset Trading Corporation (DATC);http://www.datc.com.vn/#;;
;;;;;;;
;;;;;;;
;;;;;;;
ADDITIONAL;;;;;;;
Norway;;mar-1991;decentralized;Government Bank Insurance Fund;;http://www.esri.go.jp/jp/workshop/020320/session4_prf_kroszner1.pdf;http://fic.wharton.upenn.edu/fic/papers/98/9805.pdf
Norway;;lis-1991;;Government Bank Investment Fund;;;
Hungary;;00-1992;both;Credit Consolidation Fund ;;;
Hungary;;07-1995;;Risk Kft;;;
Ukraine;;;centralised;Bank Recovery Unit (BRU);;;
Spain;;;;bailout of bankia?;;;
Portugal;;;;;;;
Chile;;;;bad loans transfered to CB but but had to buy them back and were responsible for recovering bad loans
;;;;
;;;;
