"imfcode","year","CvHOwnPerc"
614,1995,50
614,1996,40
614,1997,40
614,1998,40
614,1999,50
614,2000,50
614,2001,50
614,2002,50
614,2003,44.4444444444444
614,2004,44.4444444444444
614,2005,50
614,2006,50
614,2007,50
614,2008,50
614,2009,50
914,1995,25
914,1996,40
914,1997,50
914,1998,62.5
914,1999,62.5
914,2000,75
914,2001,75
914,2002,75
914,2003,70
914,2004,72.7272727272727
914,2005,81.8181818181818
914,2006,76.9230769230769
914,2007,84.6153846153846
914,2008,83.3333333333333
914,2009,83.3333333333333
466,1995,17.6470588235294
466,1996,17.6470588235294
466,1997,17.6470588235294
466,1998,17.6470588235294
466,1999,17.6470588235294
466,2000,17.6470588235294
466,2001,17.6470588235294
466,2002,17.6470588235294
466,2003,17.6470588235294
466,2004,17.6470588235294
466,2005,17.6470588235294
466,2006,17.6470588235294
466,2007,17.6470588235294
466,2008,21.0526315789474
466,2009,21.0526315789474
213,1995,22.2222222222222
213,1996,24.3478260869565
213,1997,29.3577981651376
213,1998,32.0388349514563
213,1999,36.9565217391304
213,2000,36.6666666666667
213,2001,36.9047619047619
213,2002,34.2105263157895
213,2003,35.6164383561644
213,2004,34.7222222222222
213,2005,33.8028169014084
213,2006,33.8028169014084
213,2007,34.7826086956522
213,2008,34.7826086956522
213,2009,34.7826086956522
911,1995,16.6666666666667
911,1996,16.6666666666667
911,1997,16.6666666666667
911,1998,23.0769230769231
911,1999,28.5714285714286
911,2000,28.5714285714286
911,2001,35.7142857142857
911,2002,38.4615384615385
911,2003,38.4615384615385
911,2004,42.8571428571429
911,2005,50
911,2006,64.2857142857143
911,2007,64.2857142857143
911,2008,68.75
911,2009,75
311,1995,14.2857142857143
311,1996,12.5
311,1997,12.5
311,1998,12.5
311,1999,12.5
311,2000,12.5
311,2001,12.5
311,2002,22.2222222222222
311,2003,22.2222222222222
311,2004,22.2222222222222
311,2005,22.2222222222222
311,2006,22.2222222222222
311,2007,33.3333333333333
311,2008,33.3333333333333
311,2009,33.3333333333333
193,1995,36.3636363636364
193,1996,34.7826086956522
193,1997,39.1304347826087
193,1998,37.5
193,1999,37.5
193,2000,40
193,2001,40
193,2002,40
193,2003,40
193,2004,40
193,2005,40
193,2006,40
193,2007,40
193,2008,40
193,2009,40
122,1995,4.3956043956044
122,1996,5.43478260869565
122,1997,5.37634408602151
122,1998,5.26315789473684
122,1999,5.26315789473684
122,2000,7.4468085106383
122,2001,7.36842105263158
122,2002,8.33333333333333
122,2003,8.33333333333333
122,2004,9.375
122,2005,10.4166666666667
122,2006,10.4166666666667
122,2007,10.4166666666667
122,2008,10.4166666666667
122,2009,10.4166666666667
912,1995,5.26315789473684
912,1996,9.52380952380952
912,1997,9.52380952380952
912,1998,13.6363636363636
912,1999,13.6363636363636
912,2000,13.6363636363636
912,2001,13.6363636363636
912,2002,10
912,2003,10
912,2004,9.52380952380952
912,2005,10
912,2006,10
912,2007,14.2857142857143
912,2008,14.2857142857143
912,2009,14.2857142857143
618,1995,16.6666666666667
618,1996,16.6666666666667
618,1997,16.6666666666667
618,1998,16.6666666666667
618,1999,16.6666666666667
618,2000,16.6666666666667
618,2001,16.6666666666667
618,2002,16.6666666666667
618,2003,16.6666666666667
618,2004,16.6666666666667
618,2005,16.6666666666667
618,2006,20
618,2007,25
618,2008,50
618,2009,50
124,1995,33.3333333333333
124,1996,33.3333333333333
124,1997,32.3529411764706
124,1998,33.3333333333333
124,1999,34.375
124,2000,35.4838709677419
124,2001,39.3939393939394
124,2002,39.3939393939394
124,2003,39.3939393939394
124,2004,36.3636363636364
124,2005,37.5
124,2006,37.5
124,2007,37.5
124,2008,38.7096774193548
124,2009,41.9354838709677
638,1995,83.3333333333333
638,1996,83.3333333333333
638,1997,83.3333333333333
638,1998,83.3333333333333
638,1999,85.7142857142857
638,2000,85.7142857142857
638,2001,85.7142857142857
638,2002,85.7142857142857
638,2003,75
638,2004,75
638,2005,77.7777777777778
638,2006,77.7777777777778
638,2007,77.7777777777778
638,2008,77.7777777777778
638,2009,77.7777777777778
748,1995,80
748,1996,83.3333333333333
748,1997,83.3333333333333
748,1998,85.7142857142857
748,1999,87.5
748,2000,87.5
748,2001,87.5
748,2002,87.5
748,2003,87.5
748,2004,87.5
748,2005,87.5
748,2006,88.8888888888889
748,2007,88.8888888888889
748,2008,100
748,2009,100
513,1995,0
513,1996,5
513,1997,5
513,1998,4.76190476190476
513,1999,3.33333333333333
513,2000,3.33333333333333
513,2001,3.125
513,2002,3.125
513,2003,3.125
513,2004,3.125
513,2005,3.125
513,2006,3.125
513,2007,3.125
513,2008,3.125
513,2009,3.125
918,1995,22.2222222222222
918,1996,27.5862068965517
918,1997,31.0344827586207
918,1998,35.7142857142857
918,1999,46.4285714285714
918,2000,44.4444444444444
918,2001,48.1481481481481
918,2002,53.5714285714286
918,2003,57.1428571428571
918,2004,57.1428571428571
918,2005,60.7142857142857
918,2006,66.6666666666667
918,2007,66.6666666666667
918,2008,66.6666666666667
918,2009,66.6666666666667
419,1995,62.5
419,1996,62.5
419,1997,62.5
419,1998,55.5555555555556
419,1999,55.5555555555556
419,2000,55.5555555555556
419,2001,50
419,2002,50
419,2003,55.5555555555556
419,2004,63.6363636363636
419,2005,58.3333333333333
419,2006,58.3333333333333
419,2007,57.1428571428571
419,2008,60
419,2009,60
963,1995,11.1111111111111
963,1996,16.6666666666667
963,1997,20
963,1998,17.3913043478261
963,1999,20.8333333333333
963,2000,26.9230769230769
963,2001,42.8571428571429
963,2002,44.8275862068966
963,2003,42.8571428571429
963,2004,44.4444444444444
963,2005,51.8518518518518
963,2006,52
963,2007,58.3333333333333
963,2008,56.5217391304348
963,2009,56.5217391304348
913,1995,11.1111111111111
913,1996,15
913,1997,14.2857142857143
913,1998,14.2857142857143
913,1999,14.2857142857143
913,2000,27.2727272727273
913,2001,28.5714285714286
913,2002,31.8181818181818
913,2003,36.3636363636364
913,2004,36.3636363636364
913,2005,42.8571428571429
913,2006,42.8571428571429
913,2007,50
913,2008,55
913,2009,55
218,1995,26.6666666666667
218,1996,26.6666666666667
218,1997,28.5714285714286
218,1998,41.6666666666667
218,1999,45.4545454545455
218,2000,45.4545454545455
218,2001,45.4545454545455
218,2002,45.4545454545455
218,2003,45.4545454545455
218,2004,45.4545454545455
218,2005,45.4545454545455
218,2006,40
218,2007,40
218,2008,40
218,2009,40
223,1995,22.093023255814
223,1996,23.728813559322
223,1997,27.8409090909091
223,1998,31.4285714285714
223,1999,32.5443786982249
223,2000,34.1176470588235
223,2001,33.7423312883436
223,2002,33.9622641509434
223,2003,34.8101265822785
223,2004,35.0993377483444
223,2005,34.4594594594595
223,2006,34.7222222222222
223,2007,36.551724137931
223,2008,37.5
223,2009,38.0281690140845
316,1995,50
316,1996,50
316,1997,50
316,1998,50
316,1999,50
316,2000,50
316,2001,50
316,2002,50
316,2003,80
316,2004,100
316,2005,100
316,2006,100
316,2007,100
316,2008,100
316,2009,100
616,1995,60
616,1996,60
616,1997,50
616,1998,37.5
616,1999,37.5
616,2000,44.4444444444444
616,2001,44.4444444444444
616,2002,44.4444444444444
616,2003,44.4444444444444
616,2004,50
616,2005,50
616,2006,44.4444444444444
616,2007,44.4444444444444
616,2008,50
616,2009,50
156,1995,40.9090909090909
156,1996,41.304347826087
156,1997,44
156,1998,44
156,1999,44
156,2000,40
156,2001,40
156,2002,40.3846153846154
156,2003,41.5094339622642
156,2004,41.5094339622642
156,2005,40.7407407407407
156,2006,40.7407407407407
156,2007,40.7407407407407
156,2008,40.7407407407407
156,2009,40.7407407407407
146,1995,24.7191011235955
146,1996,24.1758241758242
146,1997,23.6559139784946
146,1998,23.6559139784946
146,1999,23.1578947368421
146,2000,23.1578947368421
146,2001,22.3404255319149
146,2002,22.1052631578947
146,2003,22.3404255319149
146,2004,22.1052631578947
146,2005,20.8333333333333
146,2006,22.9166666666667
146,2007,22.9166666666667
146,2008,22.9166666666667
146,2009,23.1578947368421
228,1995,46.875
228,1996,46.875
228,1997,48.3870967741936
228,1998,46.6666666666667
228,1999,50
228,2000,50
228,2001,46.1538461538462
228,2002,44.4444444444444
228,2003,44.4444444444444
228,2004,39.2857142857143
228,2005,40.7407407407407
228,2006,40.7407407407407
228,2007,48.1481481481481
228,2008,48.1481481481481
228,2009,48.1481481481481
924,1995,12.8205128205128
924,1996,13.3333333333333
924,1997,10.7692307692308
924,1998,9.45945945945946
924,1999,9.21052631578947
924,2000,8.75
924,2001,8.43373493975904
924,2002,7.95454545454545
924,2003,7.36842105263158
924,2004,6.66666666666667
924,2005,6.30630630630631
924,2006,5.98290598290598
924,2007,14.7286821705426
924,2008,17.1641791044776
924,2009,17.7777777777778
662,1995,66.6666666666667
662,1996,70
662,1997,63.6363636363636
662,1998,63.6363636363636
662,1999,63.6363636363636
662,2000,63.6363636363636
662,2001,75
662,2002,75
662,2003,75
662,2004,75
662,2005,75
662,2006,75
662,2007,75
662,2008,76.9230769230769
662,2009,75
622,1995,50
622,1996,50
622,1997,42.8571428571429
622,1998,42.8571428571429
622,1999,37.5
622,2000,55.5555555555556
622,2001,55.5555555555556
622,2002,55.5555555555556
622,2003,55.5555555555556
622,2004,55.5555555555556
622,2005,55.5555555555556
622,2006,60
622,2007,63.6363636363636
622,2008,72.7272727272727
622,2009,80
233,1995,20
