"imfcode","year","legal_abs","political_abs","economic_abs"
911,1994,NA,0.4818628,0.0666667
911,1995,NA,0.4085294,0.0666667
911,1996,0.4373389,0.2993297,0.4140514
911,1997,0.4410002,0.2835551,0.4201559
911,1998,0.4363281,0.3982543,0.4262605
911,1999,0.5158671,0.4391884,0.4168342
911,2000,0.5093673,0.4445852,0.4565488
911,2001,0.5191686,0.4797791,0.5860955
911,2002,0.5095254,0.4488616,0.5856421
911,2003,0.5281212,0.4392185,0.5791548
911,2004,0.4156482,0.4203287,0.6698685
911,2005,0.4665466,0.428233,0.6771049
911,2006,0.4696274,0.4358701,0.6897093
911,2007,0.4466205,0.4353269,0.693112
911,2008,0.445753,0.390306,0.6887239
911,2009,0.4403083,0.4107131,0.6691459
911,2010,0.4486381,0.4080881,0.6757302
311,1990,NA,NA,NA
311,1991,NA,NA,NA
311,1992,NA,NA,NA
311,1993,NA,NA,NA
311,1994,NA,NA,NA
311,1995,NA,NA,NA
311,1996,0.5566887,NA,0.5823907
311,1997,0.5581854,NA,0.5828618
311,1998,0.5596822,NA,0.583333
311,1999,0.5582988,NA,0.5653394
311,2000,0.612471,NA,0.5640125
311,2001,0.7405895,NA,0.577283
311,2002,0.7409303,NA,0.5572202
311,2003,0.7396884,NA,0.5880504
311,2004,0.7334235,NA,0.5938778
311,2005,0.7387183,NA,0.5952338
311,2006,0.7616789,NA,0.5991116
311,2007,0.7606934,NA,0.6168221
311,2008,0.759494,NA,0.6182935
311,2009,0.7618842,NA,0.6195362
311,2010,0.7718534,NA,0.6189541
193,1990,1,0.8899782,0.7399087
193,1991,1,0.8899782,0.7928699
193,1992,1,0.8899782,0.8000813
193,1993,0.8291667,0.8247304,0.6908342
193,1994,0.8291667,0.8247304,0.6993811
193,1995,0.8559196,0.828164,0.7250851
193,1996,0.8927673,0.8386029,0.7592471
193,1997,0.8942823,0.8397891,0.7624009
193,1998,0.8957973,0.8257553,0.7575684
193,1999,0.8947771,0.8335203,0.768925
193,2000,0.9086403,0.8352259,0.7396572
193,2001,0.9528494,0.8818989,0.7647919
193,2002,0.9358515,0.8640463,0.78082
193,2003,0.924211,0.8507604,0.7922539
193,2004,0.9114442,0.8585283,0.8047481
193,2005,0.930531,0.8582845,0.812082
193,2006,0.9208516,0.8576751,0.812569
193,2007,0.9176416,0.85949,0.809294
193,2008,0.9018949,0.8573967,0.8071881
193,2009,0.8942608,0.856932,0.8048931
193,2010,0.8847564,0.8520406,0.7944366
122,1990,0.9490741,0.8965142,0.6631407
122,1991,0.9444444,0.8965142,0.7556635
122,1992,0.9444444,0.8965142,0.7726822
122,1993,0.8,0.8168628,0.6778718
122,1994,0.8208333,0.8193628,0.64982
122,1995,0.8338915,0.810374,0.6666359
122,1996,0.8863772,0.8334996,0.7682313
122,1997,0.8869597,0.8166475,0.7786396
122,1998,0.8875421,0.8073475,0.7550201
122,1999,0.8871768,0.8071635,0.7615421
122,2000,0.8936222,0.7883043,0.7274648
122,2001,0.9000601,0.8514658,0.7561312
122,2002,0.8746752,0.8423471,0.7830133
122,2003,0.8961431,0.8374669,0.7864501
122,2004,0.8921276,0.8408918,0.7877008
122,2005,0.9036114,0.8506132,0.7574526
122,2006,0.908517,0.8428372,0.7672295
122,2007,0.9100364,0.8444343,0.7649261
122,2008,0.8911607,0.8532514,0.7575803
122,2009,0.8749444,0.8439412,0.7499158
122,2010,0.8608676,0.8515099,0.7379267
912,1990,NA,NA,NA
912,1991,NA,NA,NA
912,1992,NA,0.2833333,NA
912,1993,NA,0.1947917,0.0666667
912,1994,NA,0.2260417,0.0666667
912,1995,NA,0.2166667,0.0833333
912,1996,0.2712962,0.2045287,0.2676568
912,1997,0.3147868,0.2068494,0.3131112
912,1998,0.3207775,0.22167,0.3168988
912,1999,0.4648343,0.3109297,0.3709686
912,2000,0.3991502,0.3096933,0.4034182
