"year","IMFDreher","imfcode"
"1978",0,513
"1979",1,513
"1980",0,513
"1981",0,513
"1982",0,513
"1983",1,513
"1984",0,513
"1985",1,513
"1986",0,513
"1987",0,513
"1988",0,513
"1989",0,513
"1990",0,513
"1991",0,513
"1992",0,513
"1993",0,513
"1994",0,513
"1995",0,513
"1996",0,513
"1997",0,513
"1998",0,513
"1999",0,513
"2000",0,513
"2001",0,513
"2002",0,513
"2003",0,513
"2004",0,513
"2005",0,513
"2006",0,513
"2007",0,513
"2008",0,513
"1970",0,316
"1971",0,316
"1972",0,316
"1973",0,316
"1974",0,316
"1975",0,316
"1976",0,316
"1977",0,316
"1978",0,316
"1979",0,316
"1980",0,316
"1981",0,316
"1982",1,316
"1983",0,316
"1984",0,316
"1985",0,316
"1986",0,316
"1987",0,316
"1988",0,316
"1989",0,316
"1990",0,316
"1991",0,316
"1992",1,316
"1993",0,316
"1994",0,316
"1995",0,316
"1996",0,316
"1997",0,316
"1998",0,316
"1999",0,316
"2000",0,316
"2001",0,316
"2002",0,316
"2003",0,316
"2004",0,316
"2005",0,316
"2006",0,316
"2007",0,316
"2008",0,316
"1970",0,913
"1971",0,913
"1972",0,913
"1973",0,913
"1974",0,913
"1975",0,913
"1976",0,913
"1977",0,913
"1978",0,913
"1979",0,913
"1980",0,913
"1981",0,913
"1982",0,913
"1983",0,913
"1984",0,913
"1985",0,913
"1986",0,913
"1987",0,913
"1988",0,913
"1989",0,913
"1990",0,913
"1991",0,913
"1992",0,913
"1993",0,913
"1994",0,913
"1995",1,913
"1996",0,913
"1997",0,913
"1998",0,913
"1999",0,913
"2000",0,913
"2001",0,913
"2002",0,913
"2003",0,913
"2004",0,913
"2005",0,913
"2006",0,913
"2007",0,913
"2008",0,913
"1970",0,339
"1971",0,339
"1972",0,339
"1973",0,339
"1974",0,339
"1975",0,339
"1976",0,339
"1977",0,339
"1978",0,339
"1979",0,339
"1980",0,339
"1981",0,339
"1982",0,339
"1983",0,339
"1984",1,339
"1985",0,339
"1986",0,339
"1987",0,339
"1988",0,339
"1989",0,339
"1990",0,339
"1991",0,339
"1992",0,339
"1993",0,339
"1994",0,339
"1995",0,339
"1996",0,339
"1997",0,339
"1998",0,339
"1999",0,339
"2000",0,339
"2001",0,339
"2002",0,339
"2003",0,339
"2004",0,339
"2005",0,339
"2006",0,339
"2007",0,339
"2008",0,339
"1970",0,638
"1971",0,638
"1972",0,638
"1973",0,638
"1974",0,638
"1975",0,638
"1976",0,638
"1977",0,638
"1978",0,638
"1979",0,638
"1980",0,638
"1981",0,638
"1982",0,638
"1983",0,638
"1984",0,638
"1985",0,638
"1986",0,638
"1987",0,638
"1988",0,638
"1989",0,638
"1990",0,638
"1991",0,638
"1992",0,638
"1993",0,638
"1994",0,638
"1995",0,638
"1996",0,638
"1997",0,638
"1998",0,638
"1999",0,638
"2000",0,638
"2001",0,638
"2002",0,638
"2003",0,638
"2004",0,638
"2005",0,638
"2006",0,638
"2007",0,638
"2008",0,638
"1970",0,514
"1971",0,514
"1972",0,514
"1973",0,514
"1974",0,514
"1975",0,514
"1976",0,514
"1977",0,514
"1978",0,514
"1979",0,514
"1980",0,514
"1981",0,514
"1982",0,514
"1983",0,514
"1984",0,514
"1985",0,514
"1986",0,514
"1987",0,514
"1988",0,514
"1989",0,514
"1990",0,514
"1991",0,514
"1992",0,514
"1993",0,514
"1994",0,514
"1995",0,514
"1996",0,514
"1997",0,514
"1998",0,514
"1999",0,514
"2000",0,514
"2001",0,514
"2002",0,514
"2003",0,514
"2004",0,514
"2005",0,514
"2006",0,514
"2007",0,514
"2008",0,514
"1970",0,218
"1971",0,218
"1972",0,218
"1973",1,218
"1974",0,218
"1975",0,218
"1976",0,218
"1977",0,218
"1978",0,218
"1979",0,218
"1980",1,218
"1981",0,218
"1982",0,218
"1983",0,218
"1984",0,218
"1985",0,218
"1986",1,218
"1987",0,218
"1988",0,218
"1989",0,218
"1990",0,218
"1991",0,218
"1992",0,218
"1993",0,218
"1994",0,218
"1995",0,218
"1996",0,218
"1997",0,218
"1998",0,218
"1999",0,218
"2000",0,218
"2001",0,218
"2002",0,218
"2003",1,218
"2004",0,218
"2005",0,218
"2006",0,218
"2007",0,218
"2008",0,218
"1970",0,963
"1971",0,963
"1972",0,963
"1973",0,963
"1974",0,963
"1975",0,963
"1976",0,963
"1977",0,963
"1978",0,963
"1979",0,963
"1980",0,963
"1981",0,963
"1982",0,963
"1983",0,963
"1984",0,963
"1985",0,963
"1986",0,963
"1987",0,963
"1988",0,963
"1989",0,963
"1990",0,963
"1991",0,963
"1992",0,963
"1993",0,963
"1994",0,963
"1995",0,963
"1996",0,963
"1997",0,963
"1998",1,963
"1999",0,963
"2000",0,963
"2001",0,963
"2002",1,963
"2003",0,963
"2004",0,963
"2005",0,963
"2006",0,963
"2007",0,963
"2008",0,963
"1970",0,616
"1971",0,616
"1972",0,616
"1973",0,616
"1974",0,616
"1975",0,616
"1976",0,616
"1977",0,616
"1978",0,616
"1979",0,616
"1980",0,616
"1981",0,616
"1982",0,616
"1983",0,616
"1984",0,616
"1985",0,616
"1986",0,616
"1987",0,616
"1988",0,616
"1989",0,616
"1990",0,616
"1991",0,616
"1992",0,616
"1993",0,616
"1994",0,616
"1995",0,616
"1996",0,616
"1997",0,616
"1998",0,616
"1999",0,616
"2000",0,616
"2001",0,616
"2002",0,616
"2003",0,616
"2004",0,616
"2005",0,616
"2006",0,616
"2007",0,616
"2008",0,616
"1970",1,223
"1971",1,223
"1972",1,223
"1973",0,223
"1974",0,223
"1975",0,223
"1976",0,223
"1977",0,223
"1978",0,223
"1979",0,223
"1980",0,223
"1981",0,223
"1982",0,223
"1983",0,223
"1984",0,223
"1985",0,223
"1986",0,223
"1987",0,223
"1988",1,223
"1989",0,223
"1990",0,223
"1991",0,223
"1992",1,223
"1993",0,223
"1994",0,223
"1995",0,223
"1996",0,223
"1997",0,223
"1998",1,223
"1999",0,223
"2000",0,223
"2001",1,223
"2002",1,223
"2003",0,223
"2004",0,223
"2005",0,223
"2006",0,223
"2007",0,223
"2008",0,223
"1970",0,516
"1971",0,516
"1972",0,516
"1973",0,516
"1974",0,516
"1975",0,516
"1976",0,516
"1977",0,516
"1978",0,516
"1979",0,516
"1980",0,516
"1981",0,516
"1982",0,516
"1983",0,516
"1984",0,516
"1985",0,516
"1986",0,516
"1987",0,516
"1988",0,516
"1989",0,516
"1990",0,516
"1991",0,516
"1992",0,516
"1993",0,516
"1994",0,516
"1995",0,516
"1996",0,516
"1997",0,516
"1998",0,516
"1999",0,516
"2000",0,516
"2001",0,516
"2002",0,516
"2003",0,516
"2004",0,516
"2005",0,516
"2006",0,516
"2007",0,516
"2008",0,516
"1970",0,918
"1971",0,918
"1972",0,918
"1973",0,918
"1974",0,918
"1975",0,918
"1976",0,918
"1977",0,918
"1978",0,918
"1979",0,918
"1980",0,918
"1981",0,918
"1982",0,918
"1983",0,918
"1984",0,918
"1985",0,918
"1986",0,918
"1987",0,918
"1988",0,918
"1989",0,918
"1990",0,918
"1991",1,918
"1992",1,918
"1993",0,918
"1994",1,918
"1995",0,918
"1996",1,918
"1997",1,918
"1998",0,918
"1999",0,918
"2000",0,918
"2001",0,918
"2002",1,918
"2003",0,918
"2004",1,918
"2005",0,918
"2006",0,918
"2007",0,918
"2008",0,918
"1970",0,748
"1971",0,748
"1972",0,748
"1973",0,748
"1974",0,748
"1975",0,748
