"year","IMFDreher","imfcode"
"1995",0,469
"1996",1,469
"1997",0,469
"1998",0,469
"1999",0,469
"2000",0,469
"2001",0,469
"2002",0,469
"2003",0,469
"2004",0,469
"2005",0,469
"2006",0,469
"2007",0,469
"2008",0,469
"1970",1,253
"1971",0,253
"1972",1,253
"1973",0,253
"1974",0,253
"1975",0,253
"1976",0,253
"1977",0,253
"1978",0,253
"1979",0,253
"1980",1,253
"1981",0,253
"1982",1,253
"1983",0,253
"1984",0,253
"1985",0,253
"1986",0,253
"1987",0,253
"1988",0,253
"1989",0,253
"1990",1,253
"1991",0,253
"1992",1,253
"1993",1,253
"1994",0,253
"1995",1,253
"1996",0,253
"1997",1,253
"1998",1,253
"1999",0,253
"2000",0,253
"2001",0,253
"2002",0,253
"2003",0,253
"2004",0,253
"2005",0,253
"2006",0,253
"2007",0,253
"2008",0,253
"1970",0,642
"1971",0,642
"1972",0,642
"1973",0,642
"1974",0,642
"1975",0,642
"1976",0,642
"1977",0,642
"1978",0,642
"1979",0,642
"1980",1,642
"1981",0,642
"1982",0,642
"1983",0,642
"1984",0,642
"1985",1,642
"1986",0,642
"1987",0,642
"1988",0,642
"1989",0,642
"1990",0,642
"1991",0,642
"1992",0,642
"1993",0,642
"1994",0,642
"1995",0,642
"1996",0,642
"1997",0,642
"1998",0,642
"1999",0,642
"2000",0,642
"2001",0,642
"2002",0,642
"2003",0,642
"2004",0,642
"2005",0,642
"2006",0,642
"2007",0,642
"2008",0,642
"1970",0,643
"1971",0,643
"1972",0,643
"1973",0,643
"1974",0,643
"1975",0,643
"1976",0,643
"1977",0,643
"1978",0,643
"1979",0,643
"1980",0,643
"1981",0,643
"1982",0,643
"1983",0,643
"1984",0,643
"1985",0,643
"1986",0,643
"1987",0,643
"1988",0,643
"1989",0,643
"1990",0,643
"1991",0,643
"1992",0,643
"1993",0,643
"1994",0,643
"1995",0,643
"1996",0,643
"1997",0,643
"1998",0,643
"1999",0,643
"2000",0,643
"2001",0,643
"2002",0,643
"2003",0,643
"2004",0,643
"2005",0,643
"2006",0,643
"2007",0,643
"2008",0,643
"1970",0,939
"1971",0,939
"1972",0,939
"1973",0,939
"1974",0,939
"1975",0,939
"1976",0,939
"1977",0,939
"1978",0,939
"1979",0,939
"1980",0,939
"1981",0,939
"1982",0,939
"1983",0,939
"1984",0,939
"1985",0,939
"1986",0,939
"1987",0,939
"1988",0,939
"1989",0,939
"1990",0,939
"1991",0,939
"1992",1,939
"1993",1,939
"1994",0,939
"1995",1,939
"1996",1,939
"1997",1,939
"1998",0,939
"1999",0,939
"2000",1,939
"2001",0,939
"2002",0,939
"2003",0,939
"2004",0,939
"2005",0,939
"2006",0,939
"2007",0,939
"2008",0,939
"1970",0,644
"1971",0,644
"1972",0,644
"1973",0,644
"1974",0,644
"1975",0,644
"1976",0,644
"1977",0,644
"1978",0,644
"1979",0,644
"1980",0,644
"1981",1,644
"1982",0,644
"1983",0,644
"1984",0,644
"1985",0,644
"1986",0,644
"1987",0,644
"1988",0,644
"1989",0,644
"1990",0,644
"1991",0,644
"1992",0,644
"1993",0,644
"1994",0,644
"1995",0,644
"1996",0,644
"1997",0,644
"1998",0,644
"1999",0,644
"2000",0,644
"2001",0,644
"2002",0,644
"2003",0,644
"2004",0,644
"2005",0,644
"2006",0,644
"2007",0,644
"2008",0,644
"1970",0,819
"1971",0,819
"1972",0,819
"1973",0,819
"1974",1,819
"1975",0,819
"1976",0,819
"1977",0,819
"1978",0,819
"1979",0,819
"1980",0,819
"1981",0,819
"1982",0,819
"1983",0,819
"1984",0,819
"1985",0,819
"1986",0,819
"1987",0,819
"1988",0,819
"1989",0,819
"1990",0,819
"1991",0,819
"1992",0,819
"1993",0,819
"1994",0,819
"1995",0,819
"1996",0,819
"1997",0,819
"1998",0,819
"1999",0,819
"2000",0,819
"2001",0,819
"2002",0,819
"2003",0,819
"2004",0,819
"2005",0,819
"2006",0,819
"2007",0,819
"2008",0,819
"1970",0,646
"1971",0,646
"1972",0,646
"1973",0,646
"1974",0,646
"1975",0,646
"1976",0,646
"1977",0,646
"1978",1,646
"1979",0,646
"1980",0,646
"1981",0,646
"1982",0,646
"1983",0,646
"1984",0,646
"1985",0,646
"1986",1,646
"1987",0,646
"1988",0,646
"1989",1,646
"1990",0,646
"1991",1,646
"1992",0,646
"1993",0,646
"1994",1,646
"1995",0,646
"1996",0,646
"1997",0,646
"1998",0,646
"1999",0,646
"2000",1,646
"2001",0,646
"2002",0,646
"2003",0,646
"2004",1,646
"2005",0,646
"2006",0,646
"2007",1,646
"2008",0,646
"1970",0,648
"1971",0,648
"1972",0,648
"1973",0,648
"1974",0,648
"1975",0,648
"1976",0,648
"1977",1,648
"1978",0,648
"1979",1,648
"1980",0,648
"1981",0,648
"1982",1,648
"1983",0,648
"1984",1,648
"1985",0,648
"1986",1,648
"1987",0,648
"1988",0,648
"1989",0,648
"1990",0,648
"1991",0,648
"1992",0,648
"1993",0,648
"1994",0,648
"1995",0,648
"1996",0,648
"1997",0,648
"1998",0,648
"1999",0,648
"2000",0,648
"2001",0,648
"2002",0,648
"2003",0,648
"2004",0,648
"2005",0,648
"2006",0,648
"2007",0,648
"2008",0,648
"1970",0,915
"1971",0,915
"1972",0,915
"1973",0,915
"1974",0,915
"1975",0,915
"1976",0,915
"1977",0,915
"1978",0,915
"1979",0,915
"1980",0,915
"1981",0,915
"1982",0,915
"1983",0,915
"1984",0,915
"1985",0,915
"1986",0,915
"1987",0,915
"1988",0,915
"1989",0,915
"1990",0,915
"1991",0,915
"1992",0,915
"1993",0,915
"1994",0,915
"1995",1,915
"1996",0,915
"1997",0,915
"1998",0,915
"1999",0,915
"2000",0,915
"2001",0,915
"2002",0,915
"2003",0,915
"2004",0,915
"2005",0,915
"2006",0,915
"2007",0,915
"2008",1,915
"1970",0,652
"1971",0,652
"1972",0,652
"1973",0,652
"1974",0,652
"1975",0,652
"1976",0,652
"1977",0,652
"1978",0,652
"1979",1,652
"1980",0,652
"1981",0,652
"1982",0,652
"1983",1,652
"1984",1,652
"1985",0,652
"1986",1,652
"1987",0,652
"1988",0,652
"1989",0,652
"1990",0,652
"1991",0,652
"1992",0,652
"1993",0,652
"1994",0,652
"1995",0,652
"1996",0,652
"1997",0,652
"1998",0,652
"1999",0,652
"2000",0,652
"2001",0,652
"2002",0,652
"2003",0,652
"2004",0,652
"2005",0,652
"2006",0,652
"2007",0,652
"2008",0,652
"1970",0,328
"1971",0,328
"1972",0,328
"1973",0,328
"1974",0,328
"1975",1,328
"1976",0,328
"1977",0,328
"1978",0,328
"1979",1,328
"1980",0,328
"1981",1,328
"1982",0,328
"1983",0,328
"1984",0,328
"1985",0,328
"1986",0,328
"1987",0,328
"1988",0,328
"1989",0,328
"1990",0,328
"1991",0,328
"1992",0,328
"1993",0,328
"1994",0,328
"1995",0,328
"1996",0,328
"1997",0,328
"1998",0,328
"1999",0,328
"2000",0,328
"2001",0,328
"2002",0,328
"2003",0,328
"2004",0,328
"2005",0,328
"2006",0,328
"2007",0,328
"2008",0,328
"1970",1,258
"1971",0,258
"1972",1,258
"1973",0,258
"1974",0,258
"1975",0,258
"1976",0,258
"1977",0,258
"1978",0,258
"1979",0,258
"1980",0,258
"1981",1,258
"1982",0,258
"1983",1,258
"1984",0,258
"1985",0,258
"1986",0,258
"1987",0,258
"1988",1,258
"1989",0,258
"1990",0,258
"1991",0,258
"1992",1,258
"1993",0,258
"1994",0,258
"1995",0,258
"1996",0,258
"1997",0,258
"1998",0,258
"1999",0,258
"2000",0,258
"2001",0,258
"2002",1,258
"2003",1,258
"2004",0,258
"2005",0,258
"2006",0,258
"2007",0,258
"2008",0,258
"1970",0,656
"1971",0,656
"1972",0,656
"1973",0,656
"1974",0,656
"1975",0,656
"1976",0,656
"1977",0,656
"1978",0,656
"1979",0,656
"1980",0,656
"1981",0,656
"1982",1,656
"1983",0,656
"1984",0,656
"1985",0,656
"1986",1,656
"1987",1,656
"1988",0,656
"1989",0,656
"1990",0,656
"1991",0,656
"1992",0,656
"1993",0,656
"1994",0,656
"1995",0,656
"1996",0,656
"1997",0,656
"1998",0,656
"1999",0,656
"2000",0,656
"2001",0,656
"2002",0,656
"2003",0,656
"2004",0,656
"2005",0,656
"2006",0,656
"2007",0,656
"2008",0,656
"1970",0,654
"1971",0,654
"1972",0,654
"1973",0,654
"1974",0,654
"1975",0,654
"1976",0,654
"1977",0,654
"1978",0,654
"1979",0,654
"1980",0,654
"1981",0,654
"1982",0,654
"1983",0,654
"1984",0,654
"1985",0,654
"1986",0,654
"1987",0,654
"1988",0,654
"1989",0,654
"1990",0,654
"1991",0,654
"1992",0,654
"1993",0,654
"1994",0,654
"1995",0,654
"1996",0,654
"1997",0,654
"1998",0,654
"1999",0,654
"2000",0,654
"2001",0,654
"2002",0,654
"2003",0,654
"2004",0,654
"2005",0,654
"2006",0,654
"2007",0,654
"2008",0,654
"1970",1,336
"1971",1,336
"1972",1,336
"1973",1,336
"1974",1,336
"1975",1,336
"1976",1,336
"1977",0,336
"1978",1,336
"1979",0,336
"1980",0,336
"1981",0,336
"1982",0,336
"1983",0,336
"1984",0,336
"1985",0,336
"1986",0,336
"1987",0,336
"1988",0,336
"1989",0,336
"1990",1,336
"1991",0,336
"1992",0,336
"1993",0,336
"1994",0,336
"1995",0,336
"1996",0,336
"1997",0,336
"1998",0,336
"1999",0,336
"2000",0,336
"2001",0,336
"2002",0,336
"2003",0,336
"2004",0,336
"2005",0,336
"2006",0,336
"2007",0,336
"2008",0,336
"1970",1,263
"1971",1,263
"1972",1,263
"1973",1,263
"1974",1,263
"1975",1,263
"1976",1,263
"1977",1,263
"1978",0,263
"1979",0,263
"1980",0,263
"1981",0,263
"1982",1,263
"1983",1,263
"1984",0,263
"1985",0,263
"1986",0,263
"1987",0,263
"1988",0,263
"1989",1,263
"1990",0,263
"1991",0,263
"1992",0,263
"1993",0,263
"1994",0,263
"1995",1,263
"1996",0,263
"1997",0,263
"1998",0,263
"1999",0,263
"2000",0,263
"2001",0,263
"2002",0,263
"2003",0,263
"2004",0,263
"2005",0,263
"2006",0,263
"2007",0,263
"2008",0,263
"1970",0,268
"1971",1,268
"1972",1,268
"1973",0,268
"1974",0,268
"1975",0,268
"1976",0,268
"1977",0,268
"1978",0,268
"1979",0,268
"1980",0,268
"1981",0,268
"1982",1,268
"1983",0,268
"1984",0,268
"1985",0,268
"1986",0,268
"1987",0,268
"1988",0,268
"1989",0,268
"1990",1,268
"1991",0,268
"1992",0,268
"1993",0,268
"1994",0,268
"1995",0,268
"1996",0,268
"1997",0,268
"1998",0,268
"1999",0,268
"2000",0,268
"2001",0,268
"2002",0,268
"2003",0,268
"2004",0,268
"2005",0,268
"2006",0,268
"2007",0,268
"2008",1,268
"1970",0,944
"1971",0,944
"1972",0,944
"1973",0,944
"1974",0,944
"1975",0,944
"1976",0,944
"1977",0,944
"1978",0,944
"1979",0,944
"1980",0,944
"1981",0,944
"1982",1,944
"1983",0,944
"1984",1,944
"1985",0,944
"1986",0,944
"1987",0,944
"1988",1,944
"1989",0,944
"1990",1,944
"1991",0,944
"1992",0,944
"1993",1,944
"1994",0,944
"1995",0,944
"1996",1,944
"1997",0,944
"1998",0,944
"1999",0,944
"2000",0,944
"2001",0,944
"2002",0,944
"2003",0,944
"2004",0,944
"2005",0,944
"2006",0,944
"2007",0,944
"2008",1,944
"1970",0,534
"1971",0,534
"1972",0,534
"1973",0,534
"1974",0,534
"1975",0,534
"1976",0,534
"1977",0,534
"1978",0,534
"1979",0,534
"1980",0,534
"1981",0,534
"1982",0,534
"1983",0,534
"1984",0,534
"1985",0,534
"1986",0,534
"1987",0,534
"1988",0,534
"1989",0,534
"1990",0,534
"1991",1,534
"1992",0,534
"1993",0,534
"1994",0,534
"1995",0,534
"1996",0,534
"1997",0,534
"1998",0,534
"1999",0,534
"2000",0,534
"2001",0,534
"2002",0,534
"2003",0,534
"2004",0,534
"2005",0,534
"2006",0,534
"2007",0,534
"2008",0,534
"1970",1,536
"1971",1,536
"1972",1,536
"1973",1,536
"1974",0,536
"1975",0,536
"1976",0,536
"1977",0,536
"1978",0,536
"1979",0,536
"1980",0,536
"1981",0,536
"1982",0,536
"1983",0,536
"1984",0,536
"1985",0,536
"1986",0,536
"1987",0,536
"1988",0,536
"1989",0,536
"1990",0,536
"1991",0,536
"1992",0,536
"1993",0,536
"1994",0,536
"1995",0,536
"1996",0,536
"1997",1,536
"1998",0,536
"1999",0,536
"2000",0,536
"2001",0,536
"2002",0,536
"2003",0,536
"2004",0,536
"2005",0,536
"2006",0,536
"2007",0,536
"2008",0,536
"1970",0,429
"1971",0,429
"1972",0,429
"1973",0,429
"1974",0,429
"1975",0,429
"1976",0,429
"1977",0,429
"1978",0,429
"1979",0,429
"1980",0,429
"1981",0,429
"1982",0,429
"1983",0,429
"1984",0,429
"1985",0,429
"1986",0,429
"1987",0,429
"1988",0,429
"1989",0,429
"1990",0,429
"1991",0,429
"1992",0,429
"1993",0,429
"1994",0,429
"1995",0,429
"1996",0,429
"1997",0,429
"1998",0,429
"1999",0,429
"2000",0,429
"2001",0,429
"2002",0,429
"2003",0,429
"2004",0,429
"2005",0,429
"2006",0,429
"2007",0,429
"2008",0,429
"1970",0,433
"1971",0,433
"1972",0,433
"1973",0,433
"1974",0,433
"1975",0,433
"1976",0,433
"1977",0,433
"1978",0,433
"1979",0,433
"1980",0,433
"1981",0,433
"1982",0,433
"1983",0,433
"1984",0,433
"1985",0,433
"1986",0,433
"1987",0,433
"1988",0,433
"1989",0,433
"1990",0,433
"1991",0,433
"1992",0,433
"1993",0,433
"1994",0,433
"1995",0,433
"1996",0,433
"1997",0,433
"1998",0,433
"1999",0,433
"2000",0,433
"2001",0,433
"2002",0,433
"2003",0,433
"2004",0,433
"2005",1,433
"2006",0,433
"2007",1,433
"2008",0,433
"1970",0,436
"1971",0,436
"1972",0,436
"1973",0,436
"1974",1,436
"1975",1,436
"1976",1,436
"1977",0,436
"1978",0,436
"1979",0,436
"1980",0,436
"1981",0,436
"1982",0,436
"1983",0,436
"1984",0,436
"1985",0,436
"1986",0,436
"1987",0,436
"1988",0,436
"1989",0,436
"1990",0,436
"1991",0,436
"1992",0,436
"1993",0,436
"1994",0,436
"1995",0,436
"1996",0,436
"1997",0,436
"1998",0,436
"1999",0,436
"2000",0,436
"2001",0,436
"2002",0,436
"2003",0,436
"2004",0,436
"2005",0,436
"2006",0,436
"2007",0,436
"2008",0,436
"1970",0,343
"1971",0,343
"1972",0,343
"1973",1,343
"1974",0,343
"1975",0,343
"1976",0,343
"1977",1,343
"1978",0,343
"1979",0,343
"1980",0,343
"1981",0,343
"1982",0,343
"1983",0,343
"1984",1,343
"1985",1,343
"1986",0,343
"1987",1,343
"1988",1,343
"1989",0,343
"1990",1,343
"1991",1,343
"1992",0,343
"1993",0,343
"1994",0,343
"1995",0,343
"1996",0,343
"1997",0,343
"1998",0,343
"1999",0,343
"2000",0,343
"2001",0,343
"2002",0,343
"2003",0,343
"2004",0,343
"2005",0,343
"2006",0,343
"2007",0,343
"2008",0,343
"1970",0,439
"1971",0,439
"1972",0,439
"1973",0,439
"1974",0,439
"1975",0,439
"1976",0,439
"1977",0,439
"1978",0,439
"1979",0,439
"1980",0,439
"1981",0,439
"1982",0,439
"1983",0,439
"1984",0,439
"1985",0,439
"1986",0,439
"1987",0,439
"1988",0,439
"1989",1,439
"1990",0,439
"1991",0,439
"1992",1,439
"1993",0,439
"1994",0,439
"1995",0,439
"1996",0,439
"1997",0,439
"1998",0,439
"1999",0,439
"2000",0,439
"2001",0,439
"2002",1,439
"2003",0,439
"2004",0,439
"2005",0,439
"2006",0,439
"2007",0,439
"2008",0,439
"1970",0,916
"1971",0,916
"1972",0,916
"1973",0,916
"1974",0,916
"1975",0,916
"1976",0,916
"1977",0,916
"1978",0,916
"1979",0,916
"1980",0,916
"1981",0,916
"1982",0,916
"1983",0,916
"1984",0,916
"1985",0,916
"1986",0,916
"1987",0,916
"1988",0,916
"1989",0,916
"1990",0,916
"1991",0,916
"1992",0,916
"1993",0,916
"1994",1,916
"1995",1,916
"1996",0,916
"1997",0,916
"1998",0,916
"1999",0,916
"2000",0,916
"2001",0,916
"2002",0,916
"2003",0,916
"2004",0,916
"2005",0,916
"2006",0,916
"2007",0,916
"2008",0,916
"1970",0,664
"1971",0,664
"1972",0,664
"1973",0,664
"1974",0,664
"1975",0,664
"1976",0,664
"1977",0,664
"1978",1,664
"1979",1,664
"1980",1,664
"1981",0,664
"1982",1,664
"1983",1,664
"1984",0,664
"1985",1,664
"1986",0,664
"1987",0,664
"1988",1,664
"1989",0,664
"1990",0,664
"1991",0,664
"1992",0,664
"1993",0,664
"1994",0,664
"1995",0,664
"1996",0,664
"1997",0,664
"1998",0,664
"1999",0,664
"2000",0,664
"2001",0,664
"2002",0,664
"2003",0,664
"2004",0,664
"2005",0,664
"2006",0,664
"2007",0,664
"2008",0,664
"1970",0,826
"1971",0,826
"1972",0,826
"1973",0,826
"1974",0,826
"1975",0,826
"1976",0,826
"1977",0,826
"1978",0,826
"1979",0,826
"1980",0,826
"1981",0,826
"1982",0,826
"1983",0,826
"1984",0,826
"1985",0,826
"1986",0,826
"1987",0,826
"1988",0,826
"1989",0,826
"1990",0,826
"1991",0,826
"1992",0,826
"1993",0,826
"1994",0,826
"1995",0,826
"1996",0,826
"1997",0,826
"1998",0,826
"1999",0,826
"2000",0,826
"2001",0,826
"2002",0,826
"2003",0,826
"2004",0,826
"2005",0,826
"2006",0,826
"2007",0,826
"2008",0,826
"1970",1,542
"1971",1,542
"1972",1,542
"1973",1,542
"1974",1,542
"1975",1,542
"1976",0,542
"1977",1,542
"1978",0,542
"1979",0,542
"1980",1,542
"1981",1,542
"1982",0,542
"1983",1,542
"1984",0,542
"1985",1,542
"1986",0,542
"1987",0,542
"1988",0,542
"1989",0,542
"1990",0,542
"1991",0,542
"1992",0,542
"1993",0,542
"1994",0,542
"1995",0,542
"1996",0,542
"1997",1,542
"1998",0,542
"1999",0,542
"2000",0,542
"2001",0,542
"2002",0,542
"2003",0,542
"2004",0,542
"2005",0,542
"2006",0,542
"2007",0,542
"2008",0,542
"1970",0,443
"1971",0,443
"1972",0,443
"1973",0,443
"1974",0,443
"1975",0,443
"1976",0,443
"1977",0,443
"1978",0,443
"1979",0,443
"1980",0,443
"1981",0,443
"1982",0,443
"1983",0,443
"1984",0,443
"1985",0,443
"1986",0,443
"1987",0,443
"1988",0,443
"1989",0,443
"1990",0,443
"1991",0,443
"1992",0,443
"1993",0,443
"1994",0,443
"1995",0,443
"1996",0,443
"1997",0,443
"1998",0,443
"1999",0,443
"2000",0,443
"2001",0,443
"2002",0,443
"2003",0,443
"2004",0,443
"2005",0,443
"2006",0,443
"2007",0,443
"2008",0,443
"1970",0,917
"1971",0,917
"1972",0,917
"1973",0,917
"1974",0,917
"1975",0,917
"1976",0,917
"1977",0,917
"1978",0,917
"1979",0,917
"1980",0,917
"1981",0,917
"1982",0,917
"1983",0,917
"1984",0,917
"1985",0,917
"1986",0,917
"1987",0,917
"1988",0,917
"1989",0,917
"1990",0,917
"1991",0,917
"1992",0,917
"1993",1,917
"1994",0,917
"1995",0,917
"1996",0,917
"1997",0,917
"1998",0,917
"1999",0,917
"2000",0,917
"2001",0,917
"2002",0,917
"2003",0,917
"2004",0,917
"2005",0,917
"2006",0,917
"2007",0,917
"2008",0,917
"1970",0,544
"1971",0,544
"1972",0,544
"1973",0,544
"1974",0,544
"1975",0,544
"1976",0,544
"1977",0,544
"1978",0,544
"1979",0,544
"1980",1,544
"1981",0,544
"1982",0,544
"1983",0,544
"1984",0,544
"1985",0,544
"1986",0,544
"1987",0,544
"1988",0,544
"1989",0,544
"1990",0,544
"1991",0,544
"1992",0,544
"1993",0,544
"1994",0,544
"1995",0,544
"1996",0,544
"1997",0,544
"1998",0,544
"1999",0,544
"2000",0,544
"2001",0,544
"2002",0,544
"2003",0,544
"2004",0,544
"2005",0,544
"2006",0,544
"2007",0,544
"2008",0,544
"1970",0,941
"1971",0,941
"1972",0,941
"1973",0,941
"1974",0,941
"1975",0,941
"1976",0,941
"1977",0,941
"1978",0,941
"1979",0,941
"1980",0,941
"1981",0,941
"1982",0,941
"1983",0,941
"1984",0,941
"1985",0,941
"1986",0,941
"1987",0,941
"1988",0,941
"1989",0,941
"1990",0,941
"1991",0,941
"1992",1,941
"1993",1,941
"1994",0,941
"1995",1,941
"1996",1,941
"1997",1,941
"1998",0,941
"1999",1,941
"2000",0,941
"2001",1,941
"2002",0,941
"2003",0,941
"2004",0,941
"2005",0,941
"2006",0,941
"2007",0,941
"2008",1,941
"1970",0,446
"1971",0,446
"1972",0,446
"1973",0,446
"1974",0,446
"1975",0,446
"1976",0,446
"1977",0,446
"1978",0,446
"1979",0,446
"1980",0,446
"1981",0,446
"1982",0,446
"1983",0,446
"1984",0,446
"1985",0,446
"1986",0,446
"1987",0,446
"1988",0,446
"1989",0,446
"1990",0,446
"1991",0,446
"1992",0,446
"1993",0,446
"1994",0,446
"1995",0,446
"1996",0,446
"1997",0,446
"1998",0,446
"1999",0,446
"2000",0,446
"2001",0,446
"2002",0,446
"2003",0,446
"2004",0,446
"2005",0,446
"2006",0,446
"2007",0,446
"2008",0,446
"1970",0,666
"1971",0,666
"1972",0,666
"1973",0,666
"1974",0,666
"1975",0,666
"1976",0,666
"1977",0,666
"1978",0,666
"1979",0,666
"1980",0,666
"1981",0,666
"1982",0,666
"1983",0,666
"1984",0,666
"1985",0,666
"1986",0,666
"1987",0,666
"1988",0,666
"1989",0,666
"1990",0,666
"1991",0,666
"1992",0,666
"1993",0,666
"1994",1,666
"1995",1,666
"1996",1,666
"1997",0,666
"1998",0,666
"1999",0,666
"2000",0,666
"2001",0,666
"2002",0,666
"2003",0,666
"2004",0,666
"2005",0,666
"2006",0,666
"2007",0,666
"2008",0,666
"1970",1,668
"1971",0,668
"1972",1,668
"1973",1,668
"1974",1,668
"1975",0,668
"1976",1,668
"1977",0,668
"1978",0,668
"1979",1,668
"1980",1,668
"1981",1,668
"1982",1,668
"1983",1,668
"1984",1,668
"1985",0,668
"1986",0,668
"1987",0,668
"1988",0,668
"1989",0,668
"1990",0,668
"1991",0,668
"1992",0,668
"1993",0,668
"1994",0,668
"1995",0,668
"1996",0,668
"1997",0,668
"1998",0,668
"1999",0,668
"2000",0,668
"2001",0,668
"2002",0,668
"2003",0,668
"2004",0,668
"2005",0,668
"2006",0,668
"2007",0,668
"2008",1,668
"1970",0,672
"1971",0,672
"1972",0,672
"1973",0,672
"1974",0,672
"1975",0,672
"1976",0,672
"1977",0,672
"1978",0,672
"1979",0,672
"1980",0,672
"1981",0,672
"1982",0,672
"1983",0,672
"1984",0,672
"1985",0,672
"1986",0,672
"1987",0,672
"1988",0,672
"1989",0,672
"1990",0,672
"1991",0,672
"1992",0,672
"1993",0,672
"1994",0,672
"1995",0,672
"1996",0,672
"1997",0,672
"1998",0,672
"1999",0,672
"2000",0,672
"2001",0,672
"2002",0,672
"2003",0,672
"2004",0,672
"2005",0,672
"2006",0,672
"2007",0,672
"2008",0,672
"1970",0,946
"1971",0,946
"1972",0,946
"1973",0,946
"1974",0,946
"1975",0,946
"1976",0,946
"1977",0,946
"1978",0,946
"1979",0,946
"1980",0,946
"1981",0,946
"1982",0,946
"1983",0,946
"1984",0,946
"1985",0,946
"1986",0,946
"1987",0,946
"1988",0,946
"1989",0,946
"1990",0,946
"1991",0,946
"1992",1,946
"1993",1,946
"1994",0,946
"1995",0,946
"1996",0,946
"1997",0,946
"1998",0,946
"1999",0,946
"2000",1,946
"2001",1,946
"2002",0,946
"2003",0,946
"2004",0,946
"2005",0,946
"2006",0,946
"2007",0,946
"2008",0,946
"1970",0,962
"1971",0,962
"1972",0,962
"1973",0,962
"1974",0,962
"1975",0,962
"1976",0,962
"1977",0,962
"1978",0,962
"1979",0,962
"1980",0,962
"1981",0,962
"1982",0,962
"1983",0,962
"1984",0,962
"1985",0,962
"1986",0,962
"1987",0,962
"1988",0,962
"1989",0,962
"1990",0,962
"1991",0,962
"1992",0,962
"1993",0,962
"1994",0,962
"1995",1,962
"1996",0,962
"1997",0,962
"1998",0,962
"1999",0,962
"2000",0,962
"2001",0,962
"2002",0,962
"2003",1,962
"2004",0,962
"2005",1,962
"2006",0,962
"2007",0,962
"2008",0,962
"1970",0,674
"1971",0,674
"1972",0,674
"1973",0,674
"1974",0,674
"1975",0,674
"1976",0,674
"1977",1,674
"1978",0,674
"1979",0,674
"1980",1,674
"1981",1,674
"1982",1,674
"1983",0,674
"1984",1,674
"1985",1,674
"1986",1,674
"1987",0,674
"1988",1,674
"1989",0,674
"1990",0,674
"1991",0,674
"1992",0,674
"1993",0,674
"1994",0,674
"1995",0,674
"1996",0,674
"1997",0,674
"1998",0,674
"1999",0,674
"2000",0,674
"2001",0,674
"2002",0,674
"2003",0,674
"2004",0,674
"2005",0,674
"2006",0,674
"2007",0,674
"2008",0,674
"1970",0,676
"1971",0,676
"1972",0,676
"1973",0,676
"1974",0,676
"1975",0,676
"1976",0,676
"1977",0,676
"1978",0,676
"1979",1,676
"1980",1,676
"1981",0,676
"1982",1,676
"1983",0,676
"1984",0,676
"1985",0,676
"1986",0,676
"1987",0,676
"1988",1,676
"1989",0,676
"1990",0,676
"1991",0,676
"1992",0,676
"1993",0,676
"1994",1,676
"1995",0,676
"1996",0,676
"1997",0,676
"1998",0,676
"1999",0,676
"2000",0,676
"2001",0,676
"2002",0,676
"2003",0,676
"2004",0,676
"2005",0,676
"2006",0,676
"2007",0,676
"2008",0,676
"1970",0,548
"1971",0,548
"1972",0,548
"1973",0,548
"1974",0,548
"1975",0,548
"1976",0,548
"1977",0,548
"1978",0,548
"1979",0,548
"1980",0,548
"1981",0,548
"1982",0,548
"1983",0,548
"1984",0,548
"1985",0,548
"1986",0,548
"1987",0,548
"1988",0,548
"1989",0,548
"1990",0,548
"1991",0,548
"1992",0,548
"1993",0,548
"1994",0,548
"1995",0,548
"1996",0,548
"1997",0,548
"1998",0,548
"1999",0,548
"2000",0,548
"2001",0,548
"2002",0,548
"2003",0,548
"2004",0,548
"2005",0,548
"2006",0,548
"2007",0,548
"2008",0,548
"1970",0,556
"1971",0,556
"1972",0,556
"1973",0,556
"1974",0,556
"1975",0,556
"1976",0,556
"1977",0,556
"1978",0,556
"1979",0,556
"1980",0,556
"1981",0,556
"1982",0,556
"1983",0,556
"1984",0,556
"1985",0,556
"1986",0,556
"1987",0,556
"1988",0,556
"1989",0,556
"1990",0,556
"1991",0,556
"1992",0,556
"1993",0,556
"1994",0,556
"1995",0,556
"1996",0,556
"1997",0,556
"1998",0,556
"1999",0,556
"2000",0,556
"2001",0,556
"2002",0,556
"2003",0,556
"2004",0,556
"2005",0,556
"2006",0,556
"2007",0,556
"2008",0,556
"1970",0,678
"1971",1,678
"1972",0,678
"1973",0,678
"1974",0,678
"1975",0,678
"1976",0,678
"1977",0,678
"1978",0,678
"1979",0,678
"1980",0,678
"1981",0,678
"1982",1,678
"1983",1,678
"1984",0,678
"1985",1,678
"1986",0,678
"1987",0,678
"1988",1,678
"1989",0,678
"1990",0,678
"1991",0,678
"1992",0,678
"1993",0,678
"1994",0,678
"1995",0,678
"1996",0,678
"1997",0,678
"1998",0,678
"1999",0,678
"2000",0,678
"2001",0,678
"2002",0,678
"2003",0,678
"2004",0,678
"2005",0,678
"2006",0,678
"2007",0,678
"2008",0,678
"1970",0,181
"1971",0,181
"1972",0,181
"1973",0,181
"1974",0,181
"1975",0,181
"1976",0,181
"1977",0,181
"1978",0,181
"1979",0,181
"1980",0,181
"1981",0,181
"1982",0,181
"1983",0,181
"1984",0,181
"1985",0,181
"1986",0,181
"1987",0,181
