"iso2c","country","year","GDPCurrentUSD","GDPperCapita","CapToAssetswdi","NPLwdi","CreditInfo","DomesticCredit","CreditBurCoverange","CurrentAccount","IMFCredits","PortfolioEquity","CashSurplusDeficit","ClaimsOnGov","CentGovDebt","ShortExternDebtAll","ExternPrivateDebt","ExternPublicDebt","ExternDebtTotal","TotalReserves","imfcode"
"55","1W","World",2001,32143652600992.5,5306.01979318557,8.7,8.5,NA,161.33347298016,NA,NA,NA,405827769382.81,-0.194292700402305,NA,NA,NA,NA,NA,NA,2353316058683.65,NA
"56","1W","World",2002,33393006833122.4,5344.34085254498,8.9,8,NA,159.492160246795,NA,NA,NA,179292153325.441,-1.95269617498386,NA,NA,NA,NA,NA,NA,2785754185860.83,NA
"57","1W","World",2003,37576441455107.4,5424.63983670174,8.8,6.25,NA,163.475071874173,NA,NA,NA,432617699882.375,-2.73075232199105,NA,NA,NA,NA,NA,NA,3477113389367.58,NA
"58","1W","World",2004,42280905228438,5573.69714104255,8.7,4.2,2.38562091503268,162.037202049663,15.2007462686567,NA,NA,509330374940.47,-2.34043318349069,NA,NA,NA,NA,NA,NA,4200315710347.19,NA
"59","1W","World",2005,45711692868297,5700.3776359944,8.55,3.5,2.43428571428571,161.972737295702,17.117880794702,NA,NA,911818956139.139,-2.10556269523824,NA,NA,NA,NA,NA,NA,4780088412605.57,NA
"60","1W","World",2006,49513351430895.5,5858.25050804066,9.1,3.1,2.54494382022472,162.213787929383,17.2994152046784,NA,NA,897763594719.468,-0.915754347222971,NA,NA,NA,NA,NA,NA,5793830923988.35,NA
"61","1W","World",2007,55830480100737.9,6018.3410468599,8.7,2.7,2.65193370165746,160.592484246491,19.6346590909091,NA,NA,921664448770.665,-1.06240953096423,NA,NA,NA,NA,NA,NA,7393321717061.29,NA
"62","1W","World",2008,61238974371391.8,6027.31528616879,8.9,3,2.85164835164835,155.181141649204,20.5949720670391,NA,NA,-183182831601.958,-2.76063819479584,NA,NA,NA,NA,NA,NA,8075108514490.64,NA
"63","1W","World",2009,57933353274622.1,5825.28812536644,9.3,4.2,2.96174863387978,168.953242052034,21.8258241758242,NA,NA,859027851023.77,-7.05640491331343,NA,NA,NA,NA,NA,NA,9404644142770.19,NA
"64","1W","World",2010,63195163508598.5,6008.9325976196,9.35,3.95,3.10928961748634,167.282791174726,23.3294444444445,NA,NA,777186483889.542,-6.59402182196582,NA,NA,NA,NA,NA,NA,10785987334642.9,NA
"65","1W","World",2011,69981921885827.9,6102.95201506274,NA,NA,3.21081081081081,165.356672856563,25.9672131147541,NA,NA,193124373662.803,NA,NA,NA,NA,NA,NA,NA,11889872098206.4,NA
"66","1W","World",2012,NA,NA,NA,NA,3.32972972972973,NA,26.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","4E","East Asia & Pacific (developing only)",1980,381126563449.842,276.707632356779,NA,NA,NA,43.7120475673885,NA,NA,1550997000,50509570.515236,NA,NA,NA,14093011000,8685652000,36357736000,60687396000,NA,NA
"68","4E","East Asia & Pacific (developing only)",1981,407908412885.847,287.740206643892,NA,NA,NA,45.6369485689193,NA,NA,3314357000,11227650.5343209,NA,NA,NA,17403171000,10413267000,41960769000,73091564000,NA,NA
"69","4E","East Asia & Pacific (developing only)",1982,425158628388.774,300.726161498525,NA,NA,NA,49.0242225644003,NA,NA,3198744000,26521605.3207977,NA,NA,NA,22222862000,12597777000,50064103000,88083486000,NA,NA
"70","4E","East Asia & Pacific (developing only)",1983,445228496007.109,320.324004013192,NA,NA,NA,52.8217647179508,NA,NA,3486415000,14782534.1132315,NA,NA,NA,24489212000,12984677000,59720198000,100680502000,NA,NA
"71","4E","East Asia & Pacific (developing only)",1984,481473476093.859,345.096692827045,NA,NA,NA,56.0344245588501,NA,NA,2955739000,34324951.7331292,NA,NA,NA,26735603000,13679018000,64244891000,107615251000,NA,NA
"72","4E","East Asia & Pacific (developing only)",1985,526453914089.724,365.36761137883,NA,NA,NA,59.5762428569477,NA,NA,2969913000,40890332.6108121,NA,NA,NA,27702204000,13634570000,79877345000,124184032000,NA,NA
"73","4E","East Asia & Pacific (developing only)",1986,522818070942.918,384.223884436879,NA,NA,NA,68.801446237652,NA,NA,3707867000,96138298.3899388,NA,NA,NA,23580668000,12745141000,102503798000,142537474000,NA,NA
"74","4E","East Asia & Pacific (developing only)",1987,516045137386.183,412.204778195295,NA,NA,NA,70.954613783224,NA,NA,4321465000,499021253.731784,NA,NA,NA,23575446000,12581302000,128964673000,169442886000,NA,NA
"75","4E","East Asia & Pacific (developing only)",1988,576969998052.119,446.015565695916,NA,NA,NA,68.5933600838789,NA,NA,3561840000,443636920.719136,NA,NA,NA,26082197000,13367591000,131899734000,174911362000,NA,NA
"76","4E","East Asia & Pacific (developing only)",1989,625022170713.349,465.127779236129,NA,NA,NA,71.8925271120189,NA,NA,3114176000,1423674431.7982,NA,NA,NA,29042749000,14585318000,156919491000,203661734000,NA,NA
"77","4E","East Asia & Pacific (developing only)",1990,670821924524.017,482.945338775334,NA,NA,NA,76.319827739911,NA,NA,2084895000,439606314.065587,NA,NA,NA,37335314000,21540677000,172980964000,233941850000,NA,NA
"78","4E","East Asia & Pacific (developing only)",1991,730979372019.743,514.838833333249,NA,NA,NA,77.8083953902067,NA,NA,1478947000,38469021.8608058,NA,NA,NA,47089199000,29940326000,184068338000,262576810000,NA,NA
"79","4E","East Asia & Pacific (developing only)",1992,817368889418.778,563.817538189691,NA,NA,NA,80.6049311618592,NA,NA,1319418000,456478014.568888,NA,NA,41.119817337894,59015510000,37020095000,196191635000,293546658000,NA,NA
