"year","SystemicCrisis","CurrencyCrisis","SovereignDefault","SovereignDebtRestructuring","imfcode","country"
"112","1995",0,0,0,1,248,"ECUADOR"
"113","1998",1,0,0,0,248,"ECUADOR"
"114","2008",0,0,1,0,248,"ECUADOR"
"115","2000",0,0,0,1,248,"ECUADOR"
"116","2009",0,0,0,1,248,"ECUADOR"
"117","1999",0,1,1,0,248,"ECUADOR"
"118","1980",1,0,0,0,469,"EGYPT"
"119","1984",0,0,1,0,469,"EGYPT"
"120","1990",0,1,0,0,469,"EGYPT"
"121","1992",0,0,0,1,469,"EGYPT"
"122","1979",0,1,0,0,469,"EGYPT"
"123","1986",0,1,0,0,253,"EL SALVADOR"
"124","1989",1,0,0,0,253,"EL SALVADOR"
"125","1980",0,1,0,0,642,"EQUATORIAL GUINEA"
"126","1983",1,0,0,0,642,"EQUATORIAL GUINEA"
"127","1994",0,1,0,0,642,"EQUATORIAL GUINEA"
"128","1993",1,0,0,0,643,"ERITREA"
"129","1992",1,1,0,0,939,"ESTONIA"
"130","1993",0,1,0,0,644,"ETHIOPIA"
"131","1998",0,1,0,0,819,"FIJI"
"132","1991",1,0,0,0,172,"FINLAND"
"133","1993",0,1,0,0,172,"FINLAND"
"134","2008",1,0,0,0,132,"FRANCE"
"135","1986",0,0,1,0,646,"GABON"
"136","1994",0,1,0,1,646,"GABON"
"137","2002",0,0,1,0,646,"GABON"
"138","1985",0,1,0,0,648,"GAMBIA"
"139","1986",0,0,1,0,648,"GAMBIA"
"140","1988",0,0,0,1,648,"GAMBIA"
"141","2003",0,1,0,0,648,"GAMBIA"
"142","1991",1,0,0,0,915,"GEORGIA"
"143","1992",0,1,0,0,915,"GEORGIA"
"144","1999",0,1,0,0,915,"GEORGIA"
"145","2008",1,0,0,0,134,"GERMANY"
"146","1982",1,0,0,0,652,"GHANA"
"147","1983",0,1,0,0,652,"GHANA"
"148","1993",0,1,0,0,652,"GHANA"
"149","2000",0,1,0,0,652,"GHANA"
"150","1978",0,1,0,0,652,"GHANA"
"151","1983",0,1,0,0,174,"GREECE"
"152","2008",1,0,0,0,174,"GREECE"
"153","2012",0,0,1,1,174,"GREECE"
"154","2005",0,0,0,1,328,"GRENADA"
"155","2004",0,0,1,0,328,"GRENADA"
"156","1986",0,1,0,0,258,"GUATEMALA"
"157","1982",0,1,0,0,656,"GUINEA"
"158","1985",1,0,1,0,656,"GUINEA"
"159","1992",0,0,0,1,656,"GUINEA"
"160","1993",1,0,0,0,656,"GUINEA"
"161","2005",0,1,0,0,656,"GUINEA"
"162","1980",0,1,0,0,654,"GUINEA-BISSAU"
"163","1994",0,1,0,0,654,"GUINEA-BISSAU"
"164","1995",1,0,0,0,654,"GUINEA-BISSAU"
"165","1982",0,0,1,0,336,"GUYANA"
"166","1987",0,1,0,0,336,"GUYANA"
"167","1992",0,0,0,1,336,"GUYANA"
"168","1993",1,0,0,0,336,"GUYANA"
"169","1992",0,1,0,0,263,"HAITI"
"170","1994",1,0,0,0,263,"HAITI"
"171","2003",0,1,0,0,263,"HAITI"
"172","1981",0,0,1,0,268,"HONDURAS"
"173","1990",0,1,0,0,268,"HONDURAS"
"174","1992",0,0,0,1,268,"HONDURAS"
"175","1991",1,0,0,0,944,"HUNGARY"
"176","2008",1,0,0,0,944,"HUNGARY"
"177","1981",0,1,0,0,176,"ICELAND"
"178","1989",0,1,0,0,176,"ICELAND"
"179","2008",1,1,0,0,176,"ICELAND"
