parl,newelecP,oldelecP,country,consolexpcentgov,consolrevcengov,expcengov,revcengov,expgengov,revgengov,cengovdefsur,consolgovdefsur,country_code,cashsurdefimf,cashsurdefwdi,cashsurdef_imf_gfs,cashsurdef_imf_gfs2,drazenbudbal,Argentina,Bahamas,Barbados,Belize,Bolivia,Brazil,Chile,Colombia,CostaRica,DomRep,Ecuador,ElSalvador,Guatemala,Mexico,Nicaragua,Panama,Peru,TrinTob,Uruguay,Venezuela,run620,growth,inflation,oldeleU,oldelecL,newelecL,dbud_bal_comb,newfloating,oldfloating,oldelecL_oldfloat,oldelecP_oldfloat,dcashsurdefimf,dcashsurdefwdi,ddrazenbudbal,dcashsurdef_imf_gfs2,dcashsurdef_imf_gfs,newelecL_newfloat,newelecP_newfloat,dcengovdefsur,dconsolgovdefsur,newinflation,newgrowth,newextdebtpercgni,newextdebt,year,fiscalresponsibilitylaw,newelecL_nfloat_fisresp
0,0,0,"Argentina",,,,,,,3896.9,1606.9,1,,,,4.71,-.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,10.6,0,.7666667,.7554945,.102966,0,0,0,0,,,0,.1599998,,0,0,3047.5,300.4,10.6,5.906919,27.57,64428,1993,0,0
0,.467033,.6277778,"Argentina",,,,,,,3329.9,-416.3,1,,,,-1.07,-1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,4.2,0,.6277778,.6346154,-.8411435,0,0,0,0,,,-.8000001,-5.78,,0,0,-567,-2023.2,4.2,5.836201,29.47,74819.3,1994,0,0
0,.532967,.3722222,"Argentina",,,,,,,2857.2,-2975.7,1,,,,-7.59,-2.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,-5,3.4,0,.3722222,.3653846,-.991522,0,0,0,0,,,-1.2,-6.52,,0,0,-472.7,-2559.4,3.4,-2.84521,38.86,98464.9,1995,0,0
0,0,0,"Argentina",,,,,,,781.9,-6019.8,1,-1.9,,,-14.49,-3.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,.2,0,.1694444,.1813187,-1.058714,0,0,0,0,,,-.5,-6.9,,0,0,-2075.3,-3044.1,.2,5.52669,41.65,111077.4,1996,0,0
0,0,0,"Argentina",,,,,,,933.7,-4281.7,1,-1.49,,,-9.7,-2.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,8,.5,0,.8305556,.8186813,.7499086,0,0,0,0,.41,,.6000001,4.79,,0,0,151.8,1738.1,.5,8.111047,44.7,128155.6,1997,0,0
0,.1868132,,"Argentina",,,,,,,828.4,-4453.4,1,-1.39,,,-9.76,-2.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,,,,,0,,0,,,,.1,,.0999999,-.0600004,,0,0,-105.3,-171.6997,.9,3.850179,48.5,141411.4,1998,0,0
0,.8131868,,"Argentina",,,,,,,-1821.8,-8179.6,1,-2.87,,,-17.06,-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,,,,0,,0,,,,-1.48,,-1.3,-7.299999,,0,0,-2650.2,-3726.2,-1.2,-3.385457,51.6,142436,1999,1,0
0,0,,"Argentina",,,,,,,-880.5,-6468,1,-2.4,,,-13.82,-3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,,,,,.2142857,,0,,,,.4699998,,.0999999,3.24,,0,0,941.3,1711.6,-.9,-.7889989,52.1,144125.7,2000,0,0
0,0,,"Argentina",,,,,,,-2432.6,-8875.4,1,-3.25,,,-19.31,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,,.7857143,,0,,,,-.8499999,,,-5.49,,0,0,-1552.1,-2407.4,-1.1,-4.40884,58.13,151714.7,2001,0,0
0,.6813186,,"Argentina",61506.9,44015,46288.7,27927.3,91546.4,74265,,,1,-1.11,-5.7,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,,,,,0,,1,,,,2.14,,,,,0,.6813186,,,25.9,-10.89448,156.3,147801.1,2002,0,0
0,.3186813,,"Argentina",74570.31,64711.46,57519.52,42917.88,107795.6,103839.36,,,1,.12,-2.8,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,,,,,0,,1,,,,1.23,2.9,,,,0,.3186813,,,13.4,8.837041,133.93,162899.8,2003,0,0
0,0,,"Argentina",81869.7,81427.82,59149.53,53754.09,120564.8,131639.02,,,1,2.11,-.5,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,,,,,.1895604,,1,,,,1.99,2.3,,,,.1895604,0,,,4.4,9.029573,114.45,165042.9,2004,1,.1895604
0,0,,"Argentina",,,,,,,,,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,,,.8104396,,,,,,,,,,,,,,,9.6,9.17895,75.35,133044.9,2005,,
0,0,,"Argentina",,,,,,,,,1,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,,,,0,,,,,,,,,,,,,,,10.9,8.466063,58.56,122190.2,2006,,
1,,,"Bahamas",,,,,,,-21,-6.9,2,,,-.86,-4.34,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,,,,,.4532967,,0,0,,,,,,,,0,,,,4.3,5.185185,0,,1976,0,0
1,,,"Bahamas",,,,,,,-23.6,-9.8,2,-2.87,,-1.15,-5.91,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9.2,3.2,,,.5467033,,0,0,,,,,,-1.57,-.29,0,,-2.6,-2.9,3.2,9.154929,0,,1977,0,0
1,,,"Bahamas",,,,,,,-28.3,-13.6,2,-2.47,,-1.42,-6.84,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,14.2,6.1,,,0,,0,0,,,.3999999,,,-.9300003,-.27,0,,-4.699999,-3.8,6.1,14.17952,0,,1978,0,0
1,,,"Bahamas",,,,,,,-8.8,6.7,2,-1.8,,.62,3.05,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,26.1,9.1,,,0,,0,0,,,.6700001,,,9.89,2.04,0,,19.5,20.3,9.1,26.1393,0,,1979,0,0
1,0,0,"Bahamas",,,,,,,-1.6,18.9,2,-.25,,1.62,7.51,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6.5,12.1,0,0,0,,0,0,0,0,1.55,,,4.46,1,0,0,7.2,12.2,12.1,6.49528,0,,1980,0,0
