"imfcode","year","country","CrisisYear","CrisisDate","CrisisDateSystemic","CurrencyCrisis","YearCurrencyCrisis","SovereignCrisis","YearSovereignCrisis","CreditBoom","CreditorRights","CreditorRightsIndex","DepositIns","YearDICreated","DICoverageLimit","DICoverageRatio","DepositFreeze","DateDepositFreeze","DurationDepositFreeze","TimeDepositsFreeze","BankHoliday","DateBankHoliday","DurationBankHoliday","BankGuaranteee","DateBankGuaranteeStart","DateBankGuaranteeEnd","BankGuaranteeDuration","BankGuaranteeCoverage","EmergencyLending","DateEmergencyLending","PeakLendingSupport","BankRestructuring","Nationalizations","AssetPurchases","AMC","AMCType","Recap","RecapCosts","RecoveryDummy","RecoveryProceeds","GovRecapCosts","DepositorLosses","DepositorLosesSeverity","MonetaryPolicyIndex","AverageReserveChange","FiscalPolicyIndex","IncreasePublicDebt","IMFProgram","YearIMFProgram","PeakNPLs","NetFiscalCosts","GrossFiscalCosts","FiveYearRecovery","OutputLoss","yrcurnt","ElectionYear","govfrac","execrlc","UDS"
"8",132,1995,"France",2008,"2008-09-01","","N",NA,"",NA,"N",NA,0,"Y",NA,"70000",229,"N",NA,NA,"","N",NA,NA,"Y","Oct-08","",NA,"","Y","Oct-08",9,"Y","N","N","AMCCreated","Decentralised","Y","1.00","",NA,"","N",NA,1,8.33,1,16.25,"N","",4.02,NA,1,NA,23,3,"NotElectionYear",0.498351812362671,"Right",1.06434663314807
"9",132,2008,"France",2008,"2008-09-01","","N",NA,"",NA,"N",NA,0,"Y",NA,"70000",229,"N",NA,NA,"","N",NA,NA,"Y","Oct-08","",NA,"","Y","Oct-08",9,"Y","N","N","AMCCreated","Decentralised","Y","1.00","",NA,"","N",NA,1,8.33,1,16.25,"N","",4.02,NA,1,NA,23,4,"NotElectionYear",0.123085170984268,"Right",1.11689840536446
"10",134,2008,"Germany",2008,"2008-09-01","Oct-09","N",NA,"",NA,"N",NA,3,"Y",NA,"20000",68,"N",NA,NA,"","N",NA,NA,"Y","Oct-08","",NA,"Unlimited coverage of household deposits. ","Y","Sep-08",11,"Y","Y","Y","AMCCreated","Decentralised","Y","1.80","",NA,"","N",NA,1,8.33,1,15.97,"N","",3.7,NA,1.8,NA,11,1,"NotElectionYear",0.501078605651855,"Right",2.00447214585477
"35",652,1990,"Ghana",1982,"1982-01-01","Jan-82","Y",1983,"N",NA,"",NA,1,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"N","","",NA," ","N","",0.19,"Y","N","Y","AMCCreated","Centralised","Y","6.00","N",0,"6.00","N",NA,-1,-0.49,0,9.52,"N","",35,6,6,0,45.31,NA,NA,NA,NA,-0.783969192483168
"24",536,1998,"Indonesia",1997,"1997-11-01","Dec-97","Y",1997,"N",NA,"N",NA,3,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"Y","Jan-98","Jul-05",78,"All deposits and other credits of all domestic banks (excluding shareholdersü¾–¼ capital, subordinated debt, and insider deposits).","Y","Jan-98",23.12,"Y","Y","Y","AMCCreated","Centralised","Y","37.30","N",0,"37.30","N",NA,0,4.52,0,10.76,"Y","1998",32.5,52.3,56.8,4.6,69.02,4,"NotElectionYear",0,NA,-0.539546144637841
"23",343,1997,"Jamaica",1996,"1996-12-01","Feb-97","N",NA,"N",NA,"N",NA,2,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"Y","Feb-97","Mar-98",11,"Depositorsü¾–¼ funds in licensed deposit-taking institutions, pension funds managed by authorized institutions, and policy-holders funds in insurance companies","Y","",0.37,"Y","Y","Y","AMCCreated","Centralised","Y","13.90","Y",4.95,"8.95","N",NA,1,7.59,-1,-40.96,"N","",28.9,38.95,43.9,4.95,37.79,0,"ElectionYear",0,"Left",0.659871998262845
"14",158,1996,"Japan",1997,"1997-11-01","Nov-97","N",NA,"N",NA,"N",NA,3,"Y",1971," Full ",NA,"N",NA,NA,"","N",NA,NA,"Y","Nov-97","Apr-05",89,"All deposits, including interbank deposits","N","",2.42,"Y","Y","Y","AMCCreated","Centralised","Y","6.61","Y",0.09,"6.52","N",NA,1,7.21,1,27.73,"N","",35,13.91,14,0.09,45,0,"ElectionYear",0.47208097577095,"Left",1.16637647658604
"15",158,1999,"Japan",1997,"1997-11-01","Nov-97","N",NA,"N",NA,"N",NA,3,"Y",1971," Full ",NA,"N",NA,NA,"","N",NA,NA,"Y","Nov-97","Apr-05",89,"All deposits, including interbank deposits","N","",2.42,"Y","Y","Y","AMCCreated","Centralised","Y","6.61","Y",0.09,"6.52","N",NA,1,7.21,1,27.73,"N","",35,13.91,14,0.09,45,1,"NotElectionYear",0,"Right",1.17156626212098
"16",158,2003,"Japan",1997,"1997-11-01","Nov-97","N",NA,"N",NA,"N",NA,3,"Y",1971," Full ",NA,"N",NA,NA,"","N",NA,NA,"Y","Nov-97","Apr-05",89,"All deposits, including interbank deposits","N","",2.42,"Y","Y","Y","AMCCreated","Centralised","Y","6.61","Y",0.09,"6.52","N",NA,1,7.21,1,27.73,"N","",35,13.91,14,0.09,45,1,"NotElectionYear",0.24794314801693,"Right",1.07923955259478
"42",946,1996,"Lithuania",1995,"1995-12-01","Dec-95","N",NA,"N",NA,"N",NA,1,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"N","","",NA,"","N","",27.47,"Y","Y","Y","AMCCreated","Centralised","Y","1.70","Y",0.2,"1.50","Y",2,NA,NA,0,7.73,"N","",32.2,2.9,3.1,0.2,NA,2,"NotElectionYear",0,"Left",1.17049283940673
"25",548,1998,"Malaysia",1997,"1997-07-01","Mar-98","Y",1997,"N",NA,"Y",NA,3,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"Y","Jan-98","Aug-05",91,"Deposits only of commercial banks, finance companies and merchant banks, including overseas branches of domestic banking institutions.","Y","Aug-97",9.72,"Y","Y","Y","AMCCreated","Centralised","Y","16.40","Y",11.3,"5.10","N",NA,0,3.97,-1,-16.25,"N","",30,5.1,16.4,11.3,31.45,2,"NotElectionYear",0.680085241794586,NA,-0.0382136901621079
"26",548,1998,"Malaysia",1997,"1997-07-01","Mar-98","Y",1997,"N",NA,"Y",NA,3,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"Y","Jan-98","Aug-05",91,"Deposits only of commercial banks, finance companies and merchant banks, including overseas branches of domestic banking institutions.","Y","Aug-97",9.72,"Y","Y","Y","AMCCreated","Centralised","Y","16.40","Y",11.3,"5.10","N",NA,0,3.97,-1,-16.25,"N","",30,5.1,16.4,11.3,31.45,2,"NotElectionYear",0.680085241794586,NA,-0.0382136901621079
"27",548,1998,"Malaysia",1997,"1997-07-01","Mar-98","Y",1997,"N",NA,"Y",NA,3,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"Y","Jan-98","Aug-05",91,"Deposits only of commercial banks, finance companies and merchant banks, including overseas branches of domestic banking institutions.","Y","Aug-97",9.72,"Y","Y","Y","AMCCreated","Centralised","Y","16.40","Y",11.3,"5.10","N",NA,0,3.97,-1,-16.25,"N","",30,5.1,16.4,11.3,31.45,2,"NotElectionYear",0.680085241794586,NA,-0.0382136901621079
"38",922,1998,"Russia",1998,"1998-08-01","Jan-99","Y",1998,"Y",1998,"N",NA,1,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"N","","",NA,"","Y","Jan-99",23.72,"Y","Y","Y","AMCCreated","Centralised","N","","",NA,"","Y",2,NA,NA,-1,-13.09,"Y","1999",40,6,6,0,NA,2,"NotElectionYear",0.573394477367401,NA,0.148747382591682
"39",922,1999,"Russia",1998,"1998-08-01","Jan-99","Y",1998,"Y",1998,"N",NA,1,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"N","","",NA,"","Y","Jan-99",23.72,"Y","Y","Y","AMCCreated","Centralised","N","","",NA,"","Y",2,NA,NA,-1,-13.09,"Y","1999",40,6,6,0,NA,1,"NotElectionYear",0.573394477367401,NA,0.112350357500663
"11",144,1992,"Sweden",1991,"1991-09-01","Sep-92","Y",1992,"N",NA,"Y",NA,2,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"Y","Sep-92","Jul-96",46,"All liabilities, except for shareholders","Y","",3.09,"Y","Y","Y","AMCCreated","Decentralised","Y","1.85","Y",0.36,"1.49","N",NA,0,5.13,1,32.6,"N","",13,0.2,3.6,3.4,30.6,2,"NotElectionYear",0.688270092010498,"Right",2.00860236381236
"12",144,1993,"Sweden",1991,"1991-09-01","Sep-92","Y",1992,"N",NA,"Y",NA,2,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"Y","Sep-92","Jul-96",46,"All liabilities, except for shareholders","Y","",3.09,"Y","Y","Y","AMCCreated","Decentralised","Y","1.85","Y",0.36,"1.49","N",NA,0,5.13,1,32.6,"N","",13,0.2,3.6,3.4,30.6,1,"NotElectionYear",0.688270092010498,"Right",2.01189747581591
"13",146,2008,"Switzerland",2008,"2008-09-01","","N",NA,"",NA,"N",NA,1,"Y",NA,"30000",43,"N",NA,NA,"","N",NA,NA,"N","N","",NA,"","Y","Sep-08",5,"Y","N","Y","AMCCreated","Decentralised","Y","1.10","Y",1.5,"-0.40","N",NA,1,7.57,0,-1.3,"N","",0.5,NA,1.1,1.5,0,3,"NotElectionYear",0.731332540512085,NA,2.02012666697233
"28",578,1997,"Thailand",1997,"1997-07-01","Oct-97","Y",1997,"N",NA,"Y",NA,3,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"Y","Aug-97","Jan-05",89,"Deposits, contingent and foreign liabilities (excluding shareholdersü¾–¼ capital and subordinated debt) of banks and finance companies. Directorsü¾–¼ and related personsü¾–¼ deposits and/or claims were not covered unless it could be proven that the transactions were at armsü¾–¼ length.","Y","Feb-98",5.08,"Y","Y","Y","AMCCreated","Centralised","Y","18.80","",NA,"18.80","Y",2,0,3.89,0,-1.7,"Y","1998",33,34.8,43.8,9,109.32,3,"NotElectionYear",0.605694890022278,"Right",0.6679510789767
"29",578,1997,"Thailand",1997,"1997-07-01","Oct-97","Y",1997,"N",NA,"Y",NA,3,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"Y","Aug-97","Jan-05",89,"Deposits, contingent and foreign liabilities (excluding shareholdersü¾–¼ capital and subordinated debt) of banks and finance companies. Directorsü¾–¼ and related personsü¾–¼ deposits and/or claims were not covered unless it could be proven that the transactions were at armsü¾–¼ length.","Y","Feb-98",5.08,"Y","Y","Y","AMCCreated","Centralised","Y","18.80","",NA,"18.80","Y",2,0,3.89,0,-1.7,"Y","1998",33,34.8,43.8,9,109.32,3,"NotElectionYear",0.605694890022278,"Right",0.6679510789767
"30",578,1997,"Thailand",1997,"1997-07-01","Oct-97","Y",1997,"N",NA,"Y",NA,3,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"Y","Aug-97","Jan-05",89,"Deposits, contingent and foreign liabilities (excluding shareholdersü¾–¼ capital and subordinated debt) of banks and finance companies. Directorsü¾–¼ and related personsü¾–¼ deposits and/or claims were not covered unless it could be proven that the transactions were at armsü¾–¼ length.","Y","Feb-98",5.08,"Y","Y","Y","AMCCreated","Centralised","Y","18.80","",NA,"18.80","Y",2,0,3.89,0,-1.7,"Y","1998",33,34.8,43.8,9,109.32,3,"NotElectionYear",0.605694890022278,"Right",0.6679510789767
"31",578,1998,"Thailand",1997,"1997-07-01","Oct-97","Y",1997,"N",NA,"Y",NA,3,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"Y","Aug-97","Jan-05",89,"Deposits, contingent and foreign liabilities (excluding shareholdersü¾–¼ capital and subordinated debt) of banks and finance companies. Directorsü¾–¼ and related personsü¾–¼ deposits and/or claims were not covered unless it could be proven that the transactions were at armsü¾–¼ length.","Y","Feb-98",5.08,"Y","Y","Y","AMCCreated","Centralised","Y","18.80","",NA,"18.80","Y",2,0,3.89,0,-1.7,"Y","1998",33,34.8,43.8,9,109.32,2,"NotElectionYear",0.605694890022278,"Right",0.719805074449536
"32",578,1998,"Thailand",1997,"1997-07-01","Oct-97","Y",1997,"N",NA,"Y",NA,3,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"Y","Aug-97","Jan-05",89,"Deposits, contingent and foreign liabilities (excluding shareholdersü¾–¼ capital and subordinated debt) of banks and finance companies. Directorsü¾–¼ and related personsü¾–¼ deposits and/or claims were not covered unless it could be proven that the transactions were at armsü¾–¼ length.","Y","Feb-98",5.08,"Y","Y","Y","AMCCreated","Centralised","Y","18.80","",NA,"18.80","Y",2,0,3.89,0,-1.7,"Y","1998",33,34.8,43.8,9,109.32,2,"NotElectionYear",0.605694890022278,"Right",0.719805074449536
"19",186,2000,"Turkey",2000,"2000-11-01","Dec-00","Y",2001,"N",NA,"Y",NA,2,"Y",1983," Full ",NA,"N",NA,NA,"","N",NA,NA,"Y","Dec-00","Jul-04",43,"All liabilities (including contingent) of domestically incorporated banks except for owners' deposits, deposits linked to criminal activities, subordinated debt, and equity ","Y","Dec-00",20.46,"Y","Y","Y","AMCCreated","Centralised","Y","24.50","Y",1.3,"23.20","N",NA,0,2.39,-1,-16.7,"Y","2000",27.6,30.7,32,1.3,37.04,4,"NotElectionYear",0.656638205051422,"Left",0.312977133717617
"4",112,2008,"United Kingdom",2007,"2007-09-01","Nov-08","N",NA,"",NA,"Y",NA,4,"Y",NA,"35000",160,"N",NA,NA,"","N",NA,NA,"Y","Oct-08","",NA,"Guarantee on short-to-medium term debt; blanket guarantee on Northern Rock and Bradford & Bingley wholesale deposits. ","Y","Nov-08",9,"Y","Y","Y","AMCCreated","Decentralised","Y","5.00","",NA,"","N",NA,1,9.42,1,15.59,"N","",4,NA,8.8,2.2,25,4,"NotElectionYear",0,"Left",1.39918741886095
"1",111,2008,"United States",2007,"2007-12-01","Oct-08","N",NA,"",NA,"N",NA,1,"Y",NA,"100000",224,"N",NA,NA,"","N",NA,NA,"Y","Oct-08","",NA,"Money market funds (capped at 50 bio); full guarantee on transaction deposits; newly issued senior unsecured debt. ","Y","Dec-08",5,"Y","Y","Y","AMCCreated","Decentralised","Y","3.60","Y",2.1,"1.50","N",NA,1,7.93,1,19.14,"N","",4.99,NA,4.5,2.4,31,0,"ElectionYear",0,"Right",1.56791465339309
"2",111,2008,"United States",2007,"2007-12-01","Oct-08","N",NA,"",NA,"N",NA,1,"Y",NA,"100000",224,"N",NA,NA,"","N",NA,NA,"Y","Oct-08","",NA,"Money market funds (capped at 50 bio); full guarantee on transaction deposits; newly issued senior unsecured debt. ","Y","Dec-08",5,"Y","Y","Y","AMCCreated","Decentralised","Y","3.60","Y",2.1,"1.50","N",NA,1,7.93,1,19.14,"N","",4.99,NA,4.5,2.4,31,0,"ElectionYear",0,"Right",1.56791465339309
"3",111,2008,"United States",2007,"2007-12-01","Oct-08","N",NA,"",NA,"N",NA,1,"Y",NA,"100000",224,"N",NA,NA,"","N",NA,NA,"Y","Oct-08","",NA,"Money market funds (capped at 50 bio); full guarantee on transaction deposits; newly issued senior unsecured debt. ","Y","Dec-08",5,"Y","Y","Y","AMCCreated","Decentralised","Y","3.60","Y",2.1,"1.50","N",NA,1,7.93,1,19.14,"N","",4.99,NA,4.5,2.4,31,0,"ElectionYear",0,"Right",1.56791465339309
"21",298,2002,"Uruguay",2002,"2002-01-01","Apr-02","Y",2002,"N",NA,"Y",NA,2,"Y",2002,"100000",140,"Y",2002,36,"Y","Y",2002,5,"N","","",NA,"","Y","Aug-02",12.85,"Y","Y","Y","AMCCreated","Centralised","Y","6.18","Y",1.16,"5.02","N",NA,0,1.98,1,17,"Y","1996",36.3,10.83,20,9.17,27.37,2,"NotElectionYear",0.488888889551163,"Right",1.56737739114194
"22",298,2002,"Uruguay",2002,"2002-01-01","Apr-02","Y",2002,"N",NA,"Y",NA,2,"Y",2002,"100000",140,"Y",2002,36,"Y","Y",2002,5,"N","","",NA,"","Y","Aug-02",12.85,"Y","Y","Y","AMCCreated","Centralised","Y","6.18","Y",1.16,"5.02","N",NA,0,1.98,1,17,"Y","1996",36.3,10.83,20,9.17,27.37,2,"NotElectionYear",0.488888889551163,"Right",1.56737739114194
"33",582,2000,"Vietnam",1997,"1997-11-01","Oct-98","N",NA,"N",NA,"N",NA,1,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"N","","",NA,"","N","",64.85,"Y","N","Y","AMCCreated","Centralised","Y","5.00","N",0,"5.00","N",NA,0,4.85,-1,-62.7,"N","",35,10,10,0,0,2,"NotElectionYear",0,"Left",-1.19937024327889
"34",582,2003,"Vietnam",1997,"1997-11-01","Oct-98","N",NA,"N",NA,"N",NA,1,"N",NA,"    ",0,"N",NA,NA,"","N",NA,NA,"N","","",NA,"","N","",64.85,"Y","N","Y","AMCCreated","Centralised","Y","5.00","N",0,"5.00","N",NA,0,4.85,-1,-62.7,"N","",35,10,10,0,0,4,"NotElectionYear",0,"Left",-0.723805622634366
